Time,Acclima Soil.EC_BULK.1.1,Acclima Soil.EC_PORE.1.1,Acclima Soil.Permitivity.1.1,Acclima Soil.Temperature.1.1,Acclima Soil.VWC.1.1,Kestrel.ALS.Blue.15,Kestrel.ALS.Clear.15,Kestrel.ALS.Green.15,Kestrel.ALS.IR.15,Kestrel.ALS.Red.15,Latitude,Longitude,Talon-Aux.PORT_1.0.3,Talon-Aux.PORT_1.1.3,Talon-Aux.PORT_1.2.3,Talon-Aux.PORT_1.3.3,Talon-Aux.PORT_2.0.3,Talon-Aux.PORT_2.1.3,Talon-Aux.PORT_2.2.3,Talon-Aux.PORT_2.3.3,Talon-Aux.PORT_3.0.3,Talon-Aux.PORT_3.1.3,Talon-Aux.PORT_3.2.3,Talon-Aux.PORT_3.3.3,Talon-Aux.START.3,Talon-Aux.STOP.3,Talon-SDI12.Apogee.
9:18:12 AM,0,0,1.2,24,0,18.022,60.86,38.391,2.94,26.04,,,19.313,216.246,0,0,20.25,218.528,0,0,18.188,216.114,0,0,1717769875,1717769892,0.471
9:19:54 AM,0,0,1.2,24.1,0,20.026,52.822,39.989,2.665,24.409,,,326.313,255.376,0,0,327.531,256.177,0,0,191.516,11.919,0,0,1717769892,1717769994,0.48
9:21:56 AM,0,0,1.2,24.1,0,24.272,60.989,45.285,3.125,26.155,,,18.75,215.531,0,0,19.688,217.828,0,0,15,213.488,0,0,1717770099,1717770116,0.472
9:24:04 AM,0,0,1.5,24,0,22.114,56.702,42.343,2.84,25.378,,,320.406,254.334,0,0,321.563,255.143,0,0,150.125,9.087,0,0,1717770116,1717770244,0.475
9:25:55 AM,0,0,1.1,24,0,56.588,97.936,63.173,4.05,29.424,,,18.938,215.312,0,0,19.688,217.523,0,0,14.813,213.297,0,0,1717770337,1717770355,0.474
9:27:53 AM,0,0,1.1,24.1,0,60.724,102.443,65.093,4.29,29.905,,,323.281,254.78,0,0,324.406,255.577,0,0,157.906,9.602,0,0,1717770355,1717770473,0.475
9:29:41 AM,0,0,1.1,24.1,0,61.04,103.741,66.346,4.325,30.003,,,18.375,215.442,0,0,19.313,217.295,0,0,14.813,213.766,0,0,1717770563,1717770581,0.475
9:34:33 AM,0,0,1.2,24.9,0,33.064,71.859,46.811,3.81,25.268,,,18.938,215.542,0,0,19.688,217.797,0,0,18.375,215.777,0,0,1717770856,1717770873,0.479
9:36:41 AM,0,0,1.1,25,0,48.21,54.478,55.702,3.948,25.245,,,323.406,254.677,0,0,324.813,255.518,0,0,154.234,9.359,0,0,1717770873,1717771001,0.482
9:38:32 AM,0,0,1.1,24.8,0,53.085,93.958,61.221,4.25,28.726,,,18.938,215.243,0,0,19.875,217.462,0,0,15,213.202,0,0,1717771095,1717771112,0.483
9:40:40 AM,0,0,1.1,24.6,0,17.577,44.532,32.399,2.765,19.584,,,321.281,254.251,0,0,322.281,254.987,0,0,147.063,8.875,0,0,1717771112,1717771240,0.485
9:42:32 AM,0,0,1.1,24.6,0,41.801,35.929,50.03,3.694,19.019,,,18.938,215.032,0,0,19.688,217.247,0,0,15,212.984,0,0,1717771334,1717771352,0.487
9:43:56 AM,0,0,1.1,24.7,0,43.335,80.605,52.362,3.98,26.271,,,329.125,255.381,0,0,330.5,256.19,0,0,202.75,12.764,0,0,1717771352,1717771436,0.487
9:45:44 AM,0,0,1.1,24.6,0,44.754,84.798,56.606,3.9,27.841,,,18.75,214.887,0,0,19.688,217.184,0,0,15,213.034,0,0,1717771527,1717771544,0.488
9:46:30 AM,0,0,1.1,24.5,0,44.651,83.768,55.224,3.88,27.637,,,339.125,256.836,0,0,340.938,257.708,0,0,286,250.829,0,0,1717771544,1717771590,0.487
9:48:18 AM,0,0,1.1,24.4,0,45.254,85.406,56.923,3.965,28.006,,,18.563,214.928,0,0,19.5,217.204,0,0,17.813,214.973,0,0,1717771680,1717771698,0.485
9:52:48 AM,46,507,11.3,26.3,21.2,592.471,955.649,589.385,2166.32,266.049,44.983,93.184,21.188,212.562,0,0,22.875,215.259,0,0,21.375,213.125,0,0,1717771950,1717771968,0.487
9:53:42 AM,45,493,11.3,26.9,21.3,563.706,871.158,568.41,2237.04,254.146,,,323.531,252.905,0,0,325.75,253.882,0,0,237.609,15.474,0,0,1717771968,1717772022,0.488
9:55:30 AM,47,511,11.4,27.9,21.4,607.824,886.14,611.282,2237.12,265.171,,,21,212.375,0,0,21.938,214.705,0,0,15.563,208.85,0,0,1717772112,1717772130,0.491
9:56:22 AM,47,511,11.4,28,21.4,607.765,935.789,597.231,2295.84,251.707,44.983,93.184,325.125,252.717,0,0,326.75,253.553,0,0,239.563,15.607,0,0,1717772130,1717772182,0.491
9:58:12 AM,47,511,11.4,27.8,21.4,640.118,1013.614,661.538,2436.96,302.878,,,21,211.874,0,0,21.938,214.233,0,0,15.375,208.283,0,0,1717772275,1717772292,0.509
10:00:46 AM,143,808,18.1,27.2,32.1,8751.529,13796.842,11418.462,8868.48,5462.634,,,27,209.249,0,0,27.938,211.44,0,0,24.563,207.911,0,0,1717772428,1717772446,0.538
10:02:04 AM,142,798,18.2,27.3,32.3,9146.471,13796.842,11479.385,8427.84,5221.756,44.983,-93.184,293.906,242.3,0,0,294.375,242.903,0,0,120.203,7.25,0,0,1717772446,1717772524,0.569
10:03:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:03:57 AM,142,795,18.3,27.5,32.3,8250.353,13596.632,9359.077,7947.36,5399.122,,,24.938,204.715,0,0,26.063,207.028,0,0,16.875,199.525,0,0,1717772619,1717772637,0.598
10:13:01 AM,,,,,,,,,,,44.984,-93.186,,,,,,,,,,,,,,,
10:13:33 AM,76,644,13.4,26.5,25,943.412,1783.649,1035.231,1148.16,552.781,,,17.813,206.016,0,0,18,207.838,0,0,15.188,204.646,0,0,1717773195,1717773213,0.509
10:14:15 AM,78,653,13.5,25.5,25.2,1193.912,2737.105,1338.077,1674.24,744.951,44.984,-93.186,312.094,249.992,0,0,313.094,250.749,0,0,234.844,15.504,0,0,1717773213,1717773255,0.504
10:15:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:16:07 AM,77,635,13.7,23.7,25.5,500.647,742.368,402.821,708.28,180.341,,,22.125,211.05,0,0,23.063,213.3,0,0,15,206.348,0,0,1717773349,1717773367,0.491
10:16:56 AM,78,639,13.8,23,25.6,494.353,695.228,410.872,695.52,170.195,44.984,-93.186,318.75,252.189,0,0,320.156,253.011,0,0,231.703,15.238,0,0,1717773367,1717773416,0.487
10:18:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:18:50 AM,77,626,13.8,21.9,25.7,544.529,829.561,512.769,765.04,247.488,,,22.125,212.394,0,0,23.063,214.67,0,0,15,207.602,0,0,1717773512,1717773530,0.474
10:19:32 AM,76,617,13.8,21.6,25.7,693.353,1064,706.718,931.68,328.537,,,324.656,254.069,0,0,326.156,254.883,0,0,265.063,246.763,0,0,1717773530,1717773572,0.47
10:20:59 AM,,,,,,,,,,,44.984,-93.186,,,,,,,,,,,,,,,
10:21:30 AM,79,639,13.9,20.8,25.8,446.412,645.596,376.462,654.56,159.707,,,21.75,211.644,0,0,22.688,215.476,0,0,20.813,213.01,0,0,1717773673,1717773690,0.464
10:22:28 AM,80,648,13.9,20.5,25.8,330.441,474.544,285.564,663.64,120.341,,,323.344,254.575,0,0,324.844,255.401,0,0,240.156,15.787,0,0,1717773690,1717773748,0.459
10:23:49 AM,,,,,,,,,,,44.984,-93.186,,,,,,,,,,,,,,,
10:24:21 AM,78,631,13.9,20,25.8,423.118,595.561,363.385,704.32,157.756,,,22.125,214.116,0,0,22.875,216.415,0,0,15.188,209.556,0,0,1717773844,1717773861,0.45
